movie_id,title,year,runtime,genres,actor_ids
tt10396038,Neither Hero Nor Traitor,2020,73,"Drama,History","nm6286339,nm0261957,nm8358700,nm7506705"
tt10397306,Madison,2020,87,"Adventure,Drama,Family","nm10055076,nm0525518,nm0913217,nm12691322"
tt10397752,Disordered,2020,89,"Animation,Documentary,Family",nm11496979
tt10414756,Party Hard,2020,103,"Comedy,Drama","nm6073478,nm10731923,nm10731924,nm4581810"
tt10423160,Kaiji: Final Game,2020,128,Adventure,"nm7139946,nm0297885,nm4445437,nm3810403,nm5018289,nm2968873,nm4341140,nm10421125"
tt10935362,The Demon of Daingerfield,2020,\N,Horror,nm4049779
tt10936214,Bring 'em Black,2020,120,Western,"nm1253986,nm9555778,nm8531011,nm5274937"
tt10937670,Figli,2020,97,Comedy,"nm0348347,nm0181246,nm0557609,nm2862095"
tt10943622,This Is Not Normal,2020,\N,Documentary,"nm1171860,nm1544202"
tt10944276,Death of a Telemarketer,2020,88,"Comedy,Drama,Thriller","nm2031358,nm0355097,nm0005286,nm5131141"
tt10955330,Hotline,2020,\N,Horror,nm10957488
tt10961186,A Starry Sky Above the Roman Ghetto,2020,100,Drama,"nm10902118,nm0059698,nm7754164,nm8035760"
tt10962562,All-American Boy,2020,110,Drama,"nm10035815,nm6565848,nm2326082,nm5869699"
tt10962762,Built Beautiful: An Architecture and Neuroscience Love Story with Narration by Martha Stewart,2020,\N,Documentary,nm11908624
tt10968008,Taanashah,2020,101,"Action,Drama","nm10991909,nm2336177,nm10991910,nm11254003"
tt10969190,Stick Monster Movie,2020,\N,Fantasy,"nm8762035,nm4027115"